Month,Accounts Inputs,Accounts Last anchor value,Accounts Next anchor value,Accounts Last anchor month,Accounts Next anchor month,Accounts Growth,Accounts Total customer accounts,Accounts Customer months,Checking Inputs,Checking Growth,Checking Share,Checking Accounts,Savings Inputs,Savings Growth,Savings Share,Savings accounts,Active Inputs,Active Growth,Active Share,Active accounts,ACH in per active inputs,ACH in per active growth,ACH in per active,ACH in quantity,ACH in rate inputs,ACH in rate growth,ACH in rate,ACH in volume,RTP in per active inputs,RTP in per active growth,RTP in per active,RTP in quantity,RTP in rate inputs,RTP in rate growth,RTP in rate,RTP in volume,Wire in per active inputs,Wire in per active growth,Wire in per active,Wire in quantity,Wire in rate inputs,Wire in rate growth,Wire in rate,Wire in volume,Inflows quantity,Inflows volume,ACH out per active inputs,ACH out per active growth,ACH out per active,ACH out quantity,ACH out rate inputs,ACH out rate growth,ACH out month % of inflows inputs,ACH out month % of inflows growth,ACH out volume % of inflows,ACH out volume,ACH out rate,RTP out per active inputs,RTP out per active growth,RTP out per active,RTP out quantity,RTP out rate inputs,RTP out rate growth,RTP out month % of inflows inputs,RTP out month % of inflows growth,RTP out volume % of inflows,RTP out volume,RTP out rate,Wire out per active inputs,Wire out per active growth,Wire out per active,Wire out quantity,Wire out rate inputs,Wire out rate growth,Wire out month % of inflows inputs,Wire out month % of inflows growth,Wire out volume % of inflows,Wire out volume,Wire out rate,Debit card per active inputs,Debit card per active growth,Debit card per active,Debit card quantity,Debit card rate inputs,Debit card rate growth,Debit card month % of inflows inputs,Debit card month % of inflows growth,Debit card volume % of inflows,Debit card volume,Debit card rate,Outflow quantity,Outflow volume
1,1000,1000,1000,1,1,,1000,1000,1,,1,1000,0.4,,0.4,400,1,,1,1000,1.4,,1.4,1400,825,,825,1155000,0.6,,0.6,600,825,,825,495000,0.001,,0.001,1,500,,500,500,2001,1650500,0.98,,0.98,980,678.5714,665000,0.4029082,,0.4029082,665000,678.5714286,0.42,,0.42,420,678.5714286,285000,0.1726749,,0.1726749,285000,678.5714286,0.001,,0.001,1,250,250,0.000151469,,0.000151469,250,250,4,,4,4000,150,600000,0.856836844,,0.856836844,600000,150,5401,1550250
2,,1000,10000,1,6,1800,2800,3800,,0,1,2800,,0,0.4,1120,,0,1,2800,,0,1.4,3920,,165,990,3880800,,0,0.6,1680,,165,990,1663200,,0.00084,0.00184,5,,160,660,3300,5605,5547300,,0,0.98,2744,,,,-0.0001404,0.4027678,2234274,814.2397959,,0,0.42,1176,,,,-0.0000601,0.1726148,957546,814.2397959,,0.00007,0.00107,3,,,,0.000003576,0.000155045,860,286.6666667,,0.4,4.4,12320,,,,-0.000694634,0.85614221,2015890,163.6274351,16243,5208570
3,,1000,10000,1,6,1800,4600,8400,,0,1,4600,,0,0.4,1840,,0,1,4600,,0,1.4,6440,,165,1155,7438200,,0,0.6,2760,,165,1155,3187800,,0.00084,0.00268,12,,160,820,9840,9212,10635840,,0,0.98,4508,,,,-0.0001404,0.4026274,4282281,949.9292369,0,0,0.42,1932,,,,-0.0000601,0.1725547,1835264,949.9296066,,0.00007,0.00114,5,,,,0.000003576,0.000158621,1687,337.4,,0.4,4.8,22080,,,,-0.000694634,0.855447576,3863721,174.9873641,28525,9982953
4,,1000,10000,1,6,1800,6400,14800,,0,1,6400,,0,0.4,2560,,0,1,6400,,0,1.4,8960,,165,1320,11827200,,0,0.6,3840,,165,1320,5068800,,0.00084,0.00352,23,,160,980,22540,12823,16918540,,0,0.98,6272,,,,-0.0001404,0.402487,6809492,1085.697066,,0,0.42,2688,,,,-0.0000601,0.1724946,2918357,1085.698289,,0.00007,0.00121,8,,,,0.000003576,0.000162197,2744,343,,0.4,5.2,33280,,,,-0.000694634,0.854752942,6143919,184.6129507,42248,15874512
5,,1000,10000,1,6,1800,8200,23000,,0,1,8200,,0,0.4,3280,,0,1,8200,,0,1.4,11480,,165,1485,17047800,,0,0.6,4920,,165,1485,7306200,,0.00084,0.00436,36,,160,1140,41040,16436,24395040,,0,0.98,8036,,,,-0.0001404,0.4023466,9815261,1221.411274,,0,0.42,3444,,,,-0.0000601,0.1724345,4206547,1221.413182,,0.00007,0.00128,10,,,,0.000003576,0.000165773,4044,404.4,,0.4,5.6,45920,,,,-0.000694634,0.854058308,8855891,192.8547692,57410,22881743
6,10000,10000,10000,6,6,1800,10000,33000,1,0,1,10000,0.4,0,0.4,4000,1,0,1,10000,1.4,0,1.4,14000,1650,165,1650,23100000,0.6,0,0.6,6000,1650,165,1650,9900000,0.0052,0.00084,0.0052,52,1300,160,1300,67600,20052,33067600,0.98,,0.98,9800,1357.1429,13300000,0.4022064,,0.4022064,13300000,1357.142857,0.42,,0.42,4200,1357.142857,5700000,0.1723742,,0.1723742,5700000,1357.142857,0.00135,,0.00135,14,400,5600,0.00016935,,0.00016935,5600,400,6,,6,60000,200,12000000,0.853363675,,0.853363675,12000000,200,74014,31005600
7,,10000,50000,6,12,6666,16666,49666,,0,1,16666,,0.033333333,0.433333333,7221.933333,,0,1,16666,,0.233333333,1.633333333,27221,,-137.5,1512.5,41171762.5,,0.1,0.7,11666,,-137.5,1512.5,17644825,,-0.000333333,0.004866667,81,,33.33333333,1333.333333,108000,38968,58924588,,0.1633333,1.1433333,19055,,,,0.0000397,0.4022461,23702186,1243.88276,,0.07,0.49,8166,,,,0.000017,0.1723912,10158080,1243.948077,,-0.0000028,0.0013472,22,,,,0,0.00016935,9979,453.5909091,,1,7,116662,,,,0,0.853363675,21380466,183.2684679,143905,55250711
8,,10000,50000,6,12,6667,23333,72999,,0,1,23333,,0.033333333,0.466666667,10888.73333,,0,1,23333,,0.233333333,1.866666667,43555,,-137.5,1375,59888125,,0.1,0.8,18666,,-137.5,1375,25665750,,-0.000333333,0.004533333,106,,33.33333333,1366.666667,144866.6667,62327,85698742,,0.1633333,1.3066666,30488,,,,0.0000397,0.4022858,34475387,1130.785457,,0.07,0.56,13066,,,,0.000017,0.1724082,14775166,1130.810194,,-0.0000028,0.0013444,31,,,,0,0.00016935,14513,468.1612903,,1,8,186664,,,,0,0.853363675,31091176,166.5622509,230249,80356242
9,,10000,50000,6,12,6667,30000,102999,,0,1,30000,,0.033333333,0.5,15000,,0,1,30000,,0.233333333,2.1,63000,,-137.5,1237.5,77962500,,0.1,0.9,27000,,-137.5,1237.5,33412500,,-0.000333333,0.0042,126,,33.33333333,1400,176400,90126,111551400,,0.1633333,1.4699999,44100,,,,0.0000397,0.4023255,44879973,1017.686463,,0.07,0.63,18900,,,,0.000017,0.1724252,19234272,1017.686349,,-0.0000028,0.0013416,40,,,,0,0.00016935,18891,472.275,,1,9,270000,,,,0,0.853363675,40465024,149.8704593,333040,104598160
10,,10000,50000,6,12,6666,36666,139665,,0,1,36666,,0.033333333,0.533333333,19555.2,,0,1,36666,,0.233333333,2.333333333,85554,,-137.5,1100,94109400,,0.1,1,36666,,-137.5,1100,40332600,,-0.000333333,0.003866667,142,,33.33333333,1433.333333,203533.3333,122362,134645533,,0.1633333,1.6333332,59888,,,,0.0000397,0.4023652,54176677,904.6332654,,0.07,0.7,25666,,,,0.000017,0.1724422,23218572,904.6431855,,-0.0000028,0.0013388,49,,,,0,0.00016935,22802,465.3469388,,1,10,366660,,,,0,0.853363675,48835854,133.1911144,452263,126253905
