All,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance
Month,Active_Accounts,Active_Accounts,Active_Accounts,Total_Inflows,Total_Inflows,Total_Inflows,ACHoutPerActive,ACHoutPerActive,ACHoutPerActive,ACHoutShare,ACHoutShare,ACHoutShare,ACHoutQuantity,ACHoutQuantity,ACHoutQuantity,ACHoutAmount_Model,ACHoutAmount_Model,ACHoutAmount_Model,ACHoutRate_Model,ACHoutRate_Model,ACHoutRate_Model,RTPoutPerActive,RTPoutPerActive,RTPoutPerActive,RTPoutShare,RTPoutShare,RTPoutShare,RTPoutQuantity,RTPoutQuantity,RTPoutQuantity,RTPoutAmount,RTPoutAmount,RTPoutAmount,RTPoutRate_Model,RTPoutRate_Model,RTPoutRate_Model,WireOutPerActive,WireOutPerActive,WireOutPerActive,WireOutShare,WireOutShare,WireOutShare,WireOutQuantity,WireOutQuantity,WireOutQuantity,WireOutAmount,WireOutAmount,WireOutAmount,WireOutRate,WireOutRate,WireOutRate,DebitCardTransactionsPerActive,DebitCardTransactionsPerActive,DebitCardTransactionsPerActive,DebitCardTransactionShare,DebitCardTransactionShare,DebitCardTransactionShare,DebitQuantity,DebitQuantity,DebitQuantity,DebitAmount,DebitAmount,DebitAmount,DebitRate,DebitRate,DebitRate
1,1000,1000, -   ,1650500,1650500, -   ,0.98,0.98, -   ,0.4029082,0.4029082, -   ,980,980, -   ,665000,665000, -   ,678.5714286,678.5714286, (0.00000003),0.42,0.42, -   ,0.1726749,0.1726749, -   ,420,420, -   ,285000,285000, -   ,678.5714286,678.5714286, (0.00000003),0.001,0.001, -   ,0.000151469,0.000151469, -   ,1,1, -   ,250,250, -   ,250,250, -   ,4,4, -   ,0.856836844,0.856836844, -   ,4000,4000, -   ,600000,600000, -   ,150,150, -   
2,2800,2800, -   ,5547300,5547300, -   ,0.98,0.98, -   ,0.40276784,0.4027678, 0.0000000400 ,2744,2744, -   ,2234274,2234274, -   ,814.2397959,814.2397959, 0.00000002 ,0.42,0.42, -   ,0.17261476,0.1726148, (0.00000004),1176,1176, -   ,957546,957546, -   ,814.2397959,814.2397959, 0.00000002 ,0.00107,0.00107, -   ,0.000155045,0.000155045, 0.0000000002 ,3,3, -   ,860,860, -   ,286.6666667,286.6666667, (0.00000003),4.4,4.4, -   ,0.85614221,0.85614221, 0.0000000002 ,12320,12320, -   ,2015890,2015890, -   ,163.6274351,163.6274351, (0.00000004)
3,4600,4600, -   ,10635840,10635840, -   ,0.98,0.98, -   ,0.40262748,0.4026274, 0.0000000800 ,4508,4508, -   ,4282281,4282281, -   ,949.9292369,949.9292369, 0.00000001 ,0.42,0.42, -   ,0.17255462,0.1725547, (0.00000008),1932,1932, -   ,1835263,1835264, (1.00),949.929089,949.9296066, (0.00051757),0.00114,0.00114, -   ,0.000158621,0.000158621, 0.0000000004 ,5,5, -   ,1687,1687, -   ,337.4,337.4, -   ,4.8,4.8, -   ,0.855447576,0.855447576, 0.0000000004 ,22080,22080, -   ,3863722,3863721, 1.00 ,174.9874094,174.9873641, 0.00004532 
4,6400,6400, -   ,16918540,16918540, -   ,0.98,0.98, -   ,0.40248712,0.402487, 0.0000001200 ,6272,6272, -   ,6809494,6809492, 2.00 ,1085.697385,1085.697066, 0.00031920 ,0.42,0.42, -   ,0.17249448,0.1724946, (0.00000012),2688,2688, -   ,2918355,2918357, (2.00),1085.697545,1085.698289, (0.00074436),0.00121,0.00121, -   ,0.000162198,0.000162197, 0.0000000006 ,8,8, -   ,2744,2744, -   ,343,343, -   ,5.2,5.2, -   ,0.854752943,0.854752942, 0.0000000006 ,33280,33280, -   ,6143919,6143919, -   ,184.6129507,184.6129507, 0.00000002 
5,8200,8200, -   ,24395040,24395040, -   ,0.98,0.98, -   ,0.40234676,0.4023466, 0.0000001600 ,8036,8036, -   ,9815265,9815261, 4.00 ,1221.411772,1221.411274, 0.00049803 ,0.42,0.42, -   ,0.17243434,0.1724345, (0.00000016),3444,3444, -   ,4206543,4206547, (4.00),1221.412021,1221.413182, (0.00116109),0.00128,0.00128, -   ,0.000165774,0.000165773, 0.0000000008 ,10,10, -   ,4044,4044, -   ,404.4,404.4, -   ,5.6,5.6, -   ,0.854058309,0.854058308, 0.0000000008 ,45920,45920, -   ,8855891,8855891, -   ,192.8547692,192.8547692, (0.00000004)
6,10000,10000, -   ,33067600,33067600, -   ,0.98,0.98, -   ,0.4022064,0.4022064, -   ,9800,9800, -   ,13300000,13300000, -   ,1357.142857,1357.142857, 0.00000014 ,0.42,0.42, -   ,0.1723742,0.1723742, -   ,4200,4200, -   ,5700001,5700000, 1.00 ,1357.143095,1357.142857, 0.00023824 ,0.00135,0.00135, -   ,0.00016935,0.00016935, -   ,14,14, -   ,5600,5600, -   ,400,400, -   ,6,6, -   ,0.853363675,0.853363675, -   ,60000,60000, -   ,11999999,12000000, (1.00),199.9999833,200, (0.00001667)
7,16666,16666, -   ,58924587.5,58924588, (0.50),1.143333333,1.1433333, 0.0000000333 ,0.40224615,0.4022461, 0.0000000500 ,19054,19055, (1.00),23702188,23702186, 2.00 ,1243.948147,1243.88276, 0.06538737 ,0.49,0.49, -   ,0.172391233,0.1723912, 0.00000003 ,8166,8166, -   ,10158082,10158080, 2.00 ,1243.948322,1243.948077, 0.00024531 ,0.001347222,0.0013472, 0.00000002 ,0.000172926,0.00016935, 0.0000035762 ,22,22, -   ,10190,9979, 211.00 ,463.1818182,453.5909091, 9.59090908 ,7,7, -   ,0.853580147,0.853363675, 0.0002164715 ,116662,116662, -   ,21385706,21380466," 5,240.00 ",183.313384,183.2684679, 0.04491606 
8,23333,23333, -   ,85698741.67,85698742, (0.33),1.306666667,1.3066666, 0.0000000667 ,0.4022859,0.4022858, 0.0000001000 ,30488,30488, -   ,34475395,34475387, 8.00 ,1130.785719,1130.785457, 0.00026197 ,0.56,0.56, -   ,0.172408267,0.1724082, 0.00000007 ,13066,13066, -   ,14775172,14775166, 6.00 ,1130.810654,1130.810194, 0.00045960 ,0.001344444,0.0013444, 0.00000004 ,0.000176502,0.00016935, 0.0000071524 ,31,31, -   ,15126,14513, 613.00 ,487.9354839,468.1612903, 19.77419357 ,8,8, -   ,0.853796618,0.853363675, 0.0004329430 ,186664,186664, -   ,31106414,31091176," 15,238.00 ",166.6438842,166.5622509, 0.08163330 
9,30000,30000, -   ,111551400,111551400, -   ,1.47,1.4699999, 0.0000001000 ,0.40232565,0.4023255, 0.0000001500 ,44100,44100, -   ,44879990,44879973, 17.00 ,1017.686848,1017.686463, 0.00038507 ,0.63,0.63, -   ,0.1724253,0.1724252, 0.00000010 ,18900,18900, -   ,19234284,19234272, 12.00 ,1017.686984,1017.686349, 0.00063513 ,0.001341667,0.0013416, 0.00000007 ,0.000180079,0.00016935, 0.0000107286 ,40,40, -   ,20088,18891," 1,197.00 ",502.2,472.275, 29.92500000 ,9,9, -   ,0.85401309,0.853363675, 0.0006494145 ,270000,270000, -   ,40494771,40465024," 29,747.00 ",149.9806333,149.8704593, 0.11017403 
