Month,Total_Inflows,Active_Accounts,ACHoutPerActive,ACHoutShare,ACHoutQuantity,ACHoutAmount,ACHoutRate,RTPoutPerActive,RTPoutShare,RTPoutQuantity,RTPoutAmount,RTPoutRate,WireOutPerActive,WireOutShare,WireOutQuantity,WireOutAmount,WireOutRate,DebitCardTransactionsPerActive,DebitCardTransactionShare,DebitCardTransactionsQuantity,DebitCardTransactionAmount,DebitCardTransactionRate,PQ_Total_Inflows,PQ_Active_Accounts,PQ_ACHoutPerActive,PQ_ACHoutShare,PQ_ACHoutQuantity,PQ_ACHoutAmount,PQ_ACHoutRate,PQ_RTPoutPerActive,PQ_RTPoutShare,PQ_RTPoutQuantity,PQ_RTPoutAmount,PQ_RTPoutRate,PQ_WireOutPerActive,PQ_WireOutShare,PQ_WireOutQuantity,PQ_WireOutAmount,PQ_WireOutRate,PQ_DebitPerActive,PQ_DebitShare,PQ_DebitQuantity,PQ_DebitAmount,PQ_DebitRate,Delta_ACH_Share,Delta_ACH_Qty,Delta_ACH_Amt,Delta_ACH_Rate,Delta_RTP_Share,Delta_RTP_Qty,Delta_RTP_Amt,Delta_RTP_Rate,Delta_Wire_Share,Delta_Wire_Qty,Delta_Wire_Amt,Delta_Wire_Rate,Abs_Delta_Wire_Amt
60,839074900,253938,1.96,0.4025119,497718,337737632,678.5722678,0.84,0.1725051,213308,144744700,678.5713616,0.0013333,0.000242415,339,203404,600.0117994,22,0.855036414,5586636,304725713,54.54547477,839074900,253938,1.96,0.4025119,497718,337737632,678.5722678,0.84,0.1725051,213307,144744700,678.5745428,0.001333333,0.000362465,339,304135,897.1533923,22,0.855036414,5586636,304639584,54.5300578,0,0,0,-3.0378E-08,0,1,0,-0.003181195,-0.00012005,0,-100731,-297.1415929,100731
59,830768500,251424,1.96,0.4025119,492791,334394207,678.572066,0.84,0.1725051,211196,143311803,678.572525,0.0013333,0.000242415,335,201391,601.1671642,22,0.855036414,5531328,301709089,54.54550679,830768500,251424,1.96,0.4025119,492791,334394207,678.572066,0.84,0.1725051,211196,143311803,678.572525,0.001333333,0.000358889,335,298153,890.0089552,22,0.855036414,5531328,301626354,54.53054926,0,0,0,-4.82841E-08,0,0,0,-4.78229E-08,-0.000116474,0,-96762,-288.841791,96762
58,822542900,248935,1.96,0.4025119,487913,331083306,678.5703722,0.84,0.1725051,209105,141892845,678.5722245,0.0013333,0.000242415,332,199397,600.5933735,22,0.855036414,5476570,298721808,54.54541949,822542900,248935,1.96,0.4025119,487912,331083306,678.5717629,0.84,0.1725051,209105,141892845,678.5722245,0.001333333,0.000355312,332,292260,880.3012048,22,0.855036414,5476570,298642407,54.53092118,0,1,0,-0.001390741,0,0,0,1.94759E-08,-0.000112897,0,-92863,-279.7078313,92863
57,814401500,246471,1.96,0.4025119,483083,327806295,678.5713739,0.84,0.1725051,207036,140488412,678.5699685,0.0013333,0.000242415,329,197423,600.0699088,22,0.855036414,5422362,295765107,54.54543739,814401500,246471,1.96,0.4025119,483083,327806295,678.5713739,0.84,0.1725051,207035,140488412,678.5732461,0.001333333,0.000351736,329,286454,870.6808511,22,0.855036414,5422362,295688983,54.53139849,0,0,0,3.671E-08,0,1,0,-0.00327757,-0.000109321,0,-89031,-270.6109423,89031
56,806339300,244031,1.96,0.4025119,478301,324561164,678.5709501,0.84,0.1725051,204986,139097642,678.5714244,0.0013333,0.000242415,325,195469,601.4430769,22,0.855036414,5368682,292837168,54.54544858,806339300,244031,1.96,0.4025119,478300,324561164,678.5723688,0.84,0.1725051,204986,139097642,678.5714244,0.001333333,0.00034816,325,280735,863.8,22,0.855036414,5368682,292764262,54.53186872,0,1,0,-0.001418706,0,0,0,1.0042E-08,-0.000105745,0,-85266,-262.3569231,85266
55,798356300,241615,1.96,0.4025119,473565,321347911,678.5719194,0.84,0.1725051,202957,137720533,678.5700074,0.0013333,0.000242415,322,193534,601.0372671,22,0.855036414,5315530,289937993,54.54545323,798356300,241615,1.96,0.4025119,473565,321347911,678.5719194,0.84,0.1725051,202956,137720533,678.5733509,0.001333333,0.000344584,322,275101,854.3509317,22,0.855036414,5315530,289868250,54.53233262,0,0,0,2.25119E-08,0,1,0,-0.003343474,-0.000102169,0,-81567,-253.3136646,81567
54,790452500,239223,1.96,0.4025119,468877,318166538,678.5714334,0.84,0.1725051,200947,136357088,678.5723997,0.0013333,0.000242415,319,191618,600.6833856,22,0.855036414,5262906,287067579,54.54545056,790452500,239223,1.96,0.4025119,468877,318166538,678.5714334,0.84,0.1725051,200947,136357088,678.5723997,0.001333333,0.000341008,319,269550,844.984326,22,0.855036414,5262906,287000945,54.53278949,0,0,0,-4.62979E-08,0,0,0,1.252E-08,-9.85926E-05,0,-77932,-244.3009404,77932
53,782627900,236855,1.96,0.4025119,464236,315017043,678.5709057,0.84,0.1725051,198958,135007304,678.5718795,0.0013333,0.000242415,316,189721,600.3829114,22,0.855036414,5210810,284225931,54.5454413,782627900,236855,1.96,0.4025119,464235,315017043,678.5723674,0.84,0.1725051,198958,135007304,678.5718795,0.001333333,0.000337431,316,264083,835.7056962,22,0.855036414,5210810,284162349,54.53323936,0,1,0,-0.001461743,0,0,0,7.84598E-09,-9.50164E-05,0,-74362,-235.3227848,74362
52,774879200,234510,1.96,0.4025119,459640,311898099,678.5704007,0.84,0.1725051,196988,133670614,678.5723699,0.0013333,0.000242415,313,187842,600.1341853,22,0.855036414,5159220,281411846,54.5454247,774879200,234510,1.96,0.4025119,459639,311898099,678.5718771,0.84,0.1725051,196988,133670614,678.5723699,0.001333333,0.000333855,313,258697,826.5079872,22,0.855036414,5159220,281351263,54.53368203,0,1,0,-0.00147636,0,0,0,9.44806E-09,-9.14402E-05,0,-70855,-226.3738019,70855
51,767209700,232189,1.96,0.4025119,455090,308811034,678.5713463,0.84,0.1725051,195039,132347586,678.5698553,0.0013333,0.000242415,310,185983,599.9451613,22,0.855036414,5108158,278626524,54.54540051,767209700,232189,1.96,0.4025119,455090,308811034,678.5713463,0.84,0.1725051,195038,132347586,678.5733344,0.001333333,0.000330279,310,253393,817.3967742,22,0.855036414,5108158,278568886,54.53411699,0,0,0,-2.71E-08,0,1,0,-0.003479127,-0.000087864,0,-67410,-217.4516129,67410
