Month	Total_Inflows	Active_Accounts	ACHoutPerActive	ACHoutShare	ACHoutQuantity	ACHoutAmount	ACHoutRate	PQ_ACHoutPerActive	PQ_ACHoutShare	PQ_ACHoutQuantity	PQ_ACHoutAmount	PQ_ACHoutRate	Delta_ACH_Share	Delta_ACH_Qty	Delta_ACH_Amt	Delta_ACH_Rate	RTPoutPerActive	RTPoutShare	RTPoutQuantity	RTPoutAmount	RTPoutRate	PQ_RTPoutPerActive	PQ_RTPoutShare	PQ_RTPoutQuantity	PQ_RTPoutAmount	PQ_RTPoutRate	Delta_RTP_Share	Delta_RTP_Qty	Delta_RTP_Amt	Delta_RTP_Rate	WireOutPerActive	WireOutShare	WireOutQuantity	WireOutAmount	WireOutRate	PQ_WireOutPerActive	PQ_WireOutShare	PQ_WireOutQuantity	PQ_WireOutAmount	PQ_WireOutRate	Delta_Wire_Share	Delta_Wire_Qty	Delta_Wire_Amt	Delta_Wire_Rate	Ref_WireOutRate_Recalc	PQ_WireOutRate_Recalc	DebitCardTransactionsPerActive	DebitCardTransactionShare	DebitCardTransactionsQuantity	DebitCardTransactionAmount	DebitCardTransactionRate	PQ_DebitPerActive	PQ_DebitShare	PQ_DebitQuantity	PQ_DebitAmount	PQ_DebitRate
1	1650500	1000	0.98	0.4029082	980	665000	678.5714286	0.98	0.4029082	980	665000	678.5714286	0	0	0	2.8571E-08	0.42	0.1726749	420	285000	678.5714286	0.42	0.1726749	420	285000	678.5714286	0	0	0	2.8571E-08	0.001	0.000151469	1	250	250	0.001	0.000151469	1	250	250	0	0	0	0	250	250	4	0.856836844	4000	600000	150	4	0.856836844	4000	600000	150
2	5547300	2800	0.98	0.4027678	2744	2234274	814.2397959	0.98	0.40276784	2744	2234274	814.2397959	-4.0E-08	0	0	-1.8367E-08	0.42	0.1726148	1176	957546	814.2397959	0.42	0.17261476	1176	957546	814.2397959	4.0E-08	0	0	-1.8367E-08	0.00107	0.000155045	3	860	286.6666667	0.00107	0.000155045	3	860	286.6666667	-2.0E-10	0	0	3.3333E-08	286.6666667	286.6666667	4.4	0.85614221	12320	2015890	163.6274351	4.4	0.85614221	12320	2015890	163.6274351
3	10635840	4600	0.98	0.4026274	4508	4282281	949.9292369	0.98	0.40262748	4508	4282281	949.9292369	-8.0E-08	0	0	-1.2156E-08	0.42	0.1725547	1932	1835264	949.9296066	0.42	0.17255462	1932	1835263	949.929089	8.0E-08	0	1	0.000517573	0.00114	0.000158621	5	1687	337.4	0.00114	0.000158621	5	1687	337.4	-4.0E-10	0	0	0	337.4	337.4	4.8	0.855447576	22080	3863721	174.9873641	4.8	0.855447576	22080	3863722	174.9874094
4	16918540	6400	0.98	0.402487	6272	6809492	1085.697066	0.98	0.40248712	6272	6809494	1085.697385	-1.2E-07	0	-2	-0.000319204	0.42	0.1724946	2688	2918357	1085.698289	0.42	0.17249448	2688	2918355	1085.697545	1.2E-07	0	2	0.000744357	0.00121	0.000162197	8	2744	343	0.00121	0.000162198	8	2744	343	-6.0E-10	0	0	0	343	343	5.2	0.854752942	33280	6143919	184.6129507	5.2	0.854752943	33280	6143919	184.6129507
5	24395040	8200	0.98	0.4023466	8036	9815261	1221.411274	0.98	0.40234676	8036	9815265	1221.411772	-1.6E-07	0	-4	-0.000498026	0.42	0.1724345	3444	4206547	1221.413182	0.42	0.17243434	3444	4206543	1221.412021	1.6E-07	0	4	0.001161094	0.00128	0.000165773	10	4044	404.4	0.00128	0.000165774	10	4044	404.4	-8.0E-10	0	0	0	404.4	404.4	5.6	0.854058308	45920	8855891	192.8547692	5.6	0.854058309	45920	8855891	192.8547692
6	33067600	10000	0.98	0.4022064	9800	13300000	1357.142857	0.98	0.4022064	9800	13300000	1357.142857	0	0	0	-1.4286E-07	0.42	0.1723742	4200	5700000	1357.142857	0.42	0.1723742	4200	5700001	1357.143095	0	0	-1	-0.000238238	0.00135	0.00016935	14	5600	400	0.00135	0.00016935	14	5600	400	0	0	0	0	400	400	6	0.853363675	60000	12000000	200	6	0.853363675	60000	11999999	199.9999833
7	58924588	16666	1.1433333	0.4022461	19055	23702186	1243.88276	1.143333333	0.40224615	19054	23702188	1243.948147	-5.0E-08	1	-2	-0.065387371	0.49	0.1723912	8166	10158080	1243.948077	0.49	0.172391233	8166	10158082	1243.948322	-3.33333E-08	0	-2	-0.000245312	0.0013472	0.00016935	22	9979	453.5909091	0.001347222	0.000172926	22	10190	463.1818182	-3.5762E-06	0	-211	-9.59090908	453.5909091	463.1818182	7	0.853363675	116662	21380466	183.2684679	7	0.853580147	116662	21385706	183.313384
8	85698742	23333	1.3066666	0.4022858	30488	34475387	1130.785457	1.306666667	0.4022859	30488	34475395	1130.785719	-1.0E-07	0	-8	-0.000261971	0.56	0.1724082	13066	14775166	1130.810194	0.56	0.172408267	13066	14775172	1130.810654	-6.66667E-08	0	-6	-0.000459605	0.0013444	0.00016935	31	14513	468.1612903	0.001344444	0.000176502	31	15126	487.9354839	-7.1524E-06	0	-613	-19.77419357	468.1612903	487.9354839	8	0.853363675	186664	31091176	166.5622509	8	0.853796618	186664	31106414	166.6438842
9	111551400	30000	1.4699999	0.4023255	44100	44879973	1017.686463	1.47	0.40232565	44100	44879990	1017.686848	-1.5E-07	0	-17	-0.000385073	0.63	0.1724252	18900	19234272	1017.686349	0.63	0.1724253	18900	19234284	1017.686984	-1.0E-07	0	-12	-0.000635127	0.0013416	0.00016935	40	18891	472.275	0.001341667	0.000180079	40	20088	502.2	-1.07286E-05	0	-1197	-29.925	472.275	502.2	9	0.853363675	270000	40465024	149.8704593	9	0.85401309	270000	40494771	149.9806333
10	134645533	36666	1.6333332	0.4023652	59888	54176677	904.6332654	1.633333333	0.4023654	59887	54176704	904.6488219	-2.0E-07	1	-27	-0.015556548	0.7	0.1724422	25666	23218572	904.6431855	0.7	0.172442333	25666	23218590	904.6438869	-1.33333E-07	0	-18	-0.000701354	0.0013388	0.00016935	49	22802	465.3469388	0.001338889	0.000183655	49	24728	504.6530612	-1.43048E-05	0	-1926	-39.30612242	465.3469388	504.6530612	10	0.853363675	366660	48835854	133.1911144	10	0.854229561	366660	48883723	133.3216686
